College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Project_Rank_in_CGPA
clg0011,112.0,6.85,6.53,4.0,yes,1.0,9.0,1.0,no,5.0
clg0062,85.0,9.16,8.81,4.0,yes,7.0,9.0,3.0,yes,3.0
clg0079,95.0,6.15,6.17,2.0,no,2.0,6.0,1.0,no,5.0
clg0003,99.0,7.55,5.55,7.0,no,3.0,4.0,4.0,no,2.0
clg0062,112.0,7.93,7.51,8.0,yes,1.0,3.0,1.0,no,5.0
clg0076,99.0,9.49,9.43,4.0,no,5.0,5.0,0.0,no,6.0
clg0079,112.0,9.84,9.68,3.0,no,6.0,8.0,0.0,yes,6.0
clg0075,67.0,7.17,7.27,5.0,no,5.0,6.0,1.0,no,5.0
clg0056,100.0,5.23,4.91,2.0,no,5.0,1.0,2.0,no,2.0
clg0001,92.0,6.82,6.82,9.0,yes,7.0,6.0,3.0,no,3.0
clg0008,93.0,8.92,8.62,5.0,yes,7.0,2.0,0.0,no,5.0
clg0056,99.0,7.48,7.13,3.0,yes,5.0,6.0,3.0,no,3.0
clg0072,97.0,6.2,7.56,10.0,no,10.0,2.0,5.0,no,1.0
clg0002,118.0,9.42,9.64,9.0,no,6.0,5.0,2.0,yes,3.0
clg0053,80.0,6.14,6.36,5.0,yes,7.0,10.0,0.0,no,4.0
clg0056,116.0,7.32,7.36,5.0,no,5.0,6.0,5.0,yes,1.0
clg0039,100.0,5.61,5.64,4.0,no,3.0,3.0,4.0,no,2.0
clg0045,111.0,6.36,7.56,9.0,yes,0.0,1.0,0.0,no,6.0
clg0069,86.0,6.21,6.1,9.0,no,7.0,4.0,4.0,no,2.0
clg0065,127.0,9.38,9.55,2.0,no,8.0,2.0,4.0,yes,2.0
clg0099,96.0,9.05,8.81,10.0,yes,9.0,4.0,4.0,no,2.0
clg0035,110.0,8.24,8.17,3.0,yes,3.0,8.0,2.0,yes,4.0
clg0084,121.0,7.55,4.85,1.0,no,8.0,6.0,5.0,no,1.0
clg0045,110.0,9.56,9.5,6.0,yes,8.0,6.0,0.0,no,6.0
clg0077,99.0,6.29,6.6,6.0,no,6.0,7.0,1.0,no,5.0
clg0094,100.0,5.89,6.26,5.0,yes,4.0,4.0,5.0,no,1.0
clg0005,85.0,6.42,5.99,1.0,yes,0.0,3.0,4.0,no,2.0
clg0025,97.0,5.9,5.83,3.0,no,2.0,9.0,0.0,no,5.0
clg0093,89.0,7.57,7.82,10.0,no,5.0,4.0,2.0,no,4.0
clg0062,102.0,7.77,7.57,2.0,no,5.0,5.0,0.0,no,5.0
clg0064,102.0,6.86,7.03,2.0,no,9.0,10.0,0.0,no,5.0
clg0061,99.0,7.55,7.12,6.0,no,9.0,4.0,1.0,no,4.0
clg0057,128.0,8.31,8.39,9.0,no,4.0,3.0,1.0,no,5.0
clg0002,85.0,7.57,7.27,5.0,yes,5.0,10.0,4.0,no,2.0
clg0027,96.0,7.55,5.37,6.0,no,10.0,6.0,1.0,no,4.0
clg0098,112.0,7.1,7.33,4.0,no,5.0,6.0,1.0,no,5.0
clg0015,96.0,7.09,7.25,9.0,no,10.0,1.0,3.0,no,2.0
clg0062,99.0,7.55,7.62,3.0,yes,7.0,7.0,4.0,no,2.0
clg0099,91.0,5.74,5.63,6.0,no,10.0,6.0,4.0,no,1.0
clg0061,103.0,8.74,8.42,2.0,yes,10.0,3.0,1.0,no,5.0
clg0046,97.0,6.57,6.22,5.0,no,7.0,2.0,5.0,no,1.0
clg0072,99.0,7.74,7.57,4.0,no,8.0,3.0,2.0,no,4.0
clg0068,102.0,7.55,7.56,10.0,no,1.0,6.0,3.0,no,3.0
clg0088,130.0,9.09,7.56,1.0,no,5.0,3.0,5.0,yes,1.0
clg0011,88.0,8.28,7.95,3.0,yes,4.0,7.0,3.0,no,3.0
clg0081,66.0,9.71,9.93,7.0,yes,5.0,6.0,0.0,no,5.0
clg0054,99.0,9.26,8.8,3.0,no,3.0,5.0,0.0,no,6.0
clg0081,88.0,7.83,7.47,1.0,yes,6.0,2.0,5.0,no,1.0
clg0075,101.0,5.16,5.15,9.0,no,0.0,9.0,2.0,no,4.0
clg0088,99.0,9.23,9.3,5.0,no,2.0,6.0,0.0,no,5.0
clg0010,112.0,5.74,5.73,4.0,yes,5.0,7.0,3.0,no,3.0
clg0021,99.0,9.53,9.29,2.0,yes,6.0,6.0,2.0,no,4.0
clg0071,99.0,9.94,9.83,4.0,no,3.0,3.0,3.0,no,3.0
clg0045,74.0,6.75,6.5,10.0,yes,5.0,6.0,1.0,no,4.0
clg0080,99.0,9.92,10.04,9.0,yes,7.0,6.0,4.0,no,2.0
clg0062,75.0,5.76,7.56,5.0,no,3.0,9.0,0.0,no,6.0
clg0006,73.0,7.7,7.39,10.0,no,6.0,2.0,4.0,no,2.0
clg0034,111.0,5.29,5.59,6.0,no,5.0,7.0,2.0,no,3.0
clg0040,75.0,8.87,8.46,1.0,no,8.0,8.0,5.0,yes,1.0
clg0062,72.0,6.08,6.58,4.0,yes,5.0,10.0,4.0,no,2.0
clg0079,101.0,6.18,6.38,2.0,no,1.0,7.0,3.0,no,3.0
clg0012,117.0,6.78,7.13,3.0,yes,5.0,9.0,5.0,yes,1.0
clg0050,99.0,7.55,8.28,4.0,no,3.0,6.0,0.0,no,6.0
clg0053,118.0,5.52,5.89,1.0,yes,8.0,7.0,3.0,no,3.0
clg0032,108.0,9.46,9.81,4.0,no,2.0,8.0,1.0,no,5.0
clg0048,99.0,7.13,7.63,4.0,no,5.0,8.0,3.0,no,2.0
clg0048,92.0,7.55,6.74,3.0,yes,4.0,5.0,3.0,no,3.0
clg0016,99.0,9.85,10.07,2.0,no,2.0,9.0,2.0,yes,2.0
clg0014,114.0,9.01,8.58,5.0,no,2.0,2.0,3.0,yes,3.0
clg0001,79.0,7.55,7.72,5.0,no,10.0,8.0,2.0,no,4.0
clg0041,86.0,7.74,8.08,2.0,no,9.0,3.0,0.0,no,5.0
clg0049,90.0,7.14,7.14,10.0,no,1.0,4.0,1.0,no,5.0
clg0062,103.0,6.46,7.56,4.0,yes,5.0,3.0,3.0,no,3.0
clg0065,111.0,5.32,5.07,6.0,yes,9.0,10.0,2.0,yes,3.0
clg0002,68.0,9.13,9.27,8.0,no,3.0,4.0,2.0,no,4.0
clg0023,90.0,9.03,8.66,10.0,yes,6.0,2.0,0.0,no,6.0
clg0062,99.0,5.44,4.96,10.0,yes,1.0,3.0,4.0,no,1.0
clg0003,99.0,5.73,5.52,4.0,no,6.0,8.0,1.0,no,4.0
clg0071,106.0,9.15,8.79,4.0,no,1.0,7.0,2.0,no,4.0
clg0005,120.0,9.9,10.08,10.0,no,6.0,6.0,3.0,yes,3.0
clg0098,128.0,8.22,8.29,4.0,no,6.0,10.0,4.0,yes,2.0
clg0079,100.0,8.9,9.24,4.0,yes,4.0,3.0,3.0,no,3.0
clg0001,99.0,6.09,5.89,9.0,yes,6.0,2.0,0.0,no,6.0
clg0078,99.0,8.18,7.69,9.0,no,0.0,3.0,2.0,no,3.0
clg0093,116.0,5.03,7.56,6.0,yes,3.0,8.0,4.0,yes,2.0
clg0062,121.0,7.23,7.56,5.0,yes,1.0,9.0,2.0,yes,4.0
clg0025,101.0,7.05,7.48,7.0,yes,5.0,1.0,4.0,no,2.0
clg0081,104.0,5.33,7.56,10.0,no,5.0,10.0,0.0,no,6.0
clg0097,99.0,7.76,8.14,1.0,no,10.0,10.0,0.0,no,6.0
clg0016,118.0,7.8,7.36,6.0,yes,1.0,6.0,5.0,no,1.0
clg0066,101.0,8.05,7.61,2.0,no,10.0,10.0,0.0,no,6.0
clg0036,107.0,7.55,8.97,3.0,no,2.0,4.0,3.0,no,3.0
clg0009,93.0,5.05,4.61,2.0,no,7.0,7.0,1.0,no,3.0
clg0066,89.0,6.79,6.72,5.0,yes,6.0,7.0,3.0,no,3.0
clg0005,93.0,5.35,5.78,9.0,yes,10.0,7.0,4.0,no,2.0
clg0030,97.0,5.24,5.03,1.0,no,1.0,2.0,0.0,no,3.0
clg0032,101.0,7.79,8.24,4.0,no,8.0,8.0,5.0,yes,1.0
clg0084,117.0,7.55,10.36,5.0,yes,5.0,9.0,2.0,yes,1.0
clg0001,100.0,5.85,6.33,7.0,yes,7.0,4.0,0.0,no,6.0
clg0036,99.0,9.11,7.56,3.0,yes,1.0,8.0,5.0,yes,1.0
clg0034,96.0,7.55,7.56,10.0,yes,8.0,9.0,4.0,yes,2.0
clg0039,83.0,7.55,7.56,2.0,no,9.0,6.0,4.0,no,2.0
clg0062,115.0,6.83,6.86,9.0,yes,10.0,7.0,2.0,no,4.0
clg0058,123.0,7.22,7.11,6.0,yes,5.0,6.0,1.0,no,5.0
clg0081,111.0,7.44,7.81,9.0,no,2.0,7.0,1.0,no,5.0
clg0011,115.0,8.49,8.73,1.0,no,2.0,7.0,1.0,no,5.0
clg0073,96.0,6.6,6.32,7.0,yes,10.0,5.0,1.0,no,5.0
clg0089,105.0,8.87,8.65,1.0,no,3.0,10.0,5.0,yes,1.0
clg0097,81.0,9.86,9.76,7.0,yes,8.0,3.0,1.0,no,4.0
